id,name,local_name,cuisine_type,course,community,description,ingredients,ingredient_names,instructions,serving_suggestion,alternative_cooking,
44,Cassava and Banana Pancakes,Kabalagala,african,snack,Baganda,"Sweet and soft pancakes made from ripe bananas and cassava flour, fried until golden brown and caramelized on the edges.",200g cassava flour|4 ripe bananas|1 teaspoon vanilla essence|500ml cooking oil,cassava flour|bananas|vanilla essence|cooking oil,"Peel and mash the ripe bananas. While mashing, add some cassava flour and vanilla. Keep kneading and working the dough until it is stiff to the point where it is not sticky. Lay the dough on a floured board and roll to about an inch thickness. Using a cookie cutter or an ordinary glass, cut into rounds. Heat the oil in a heavy duty saucepan or frying pan. When the oil is hot, fry the Kabalagala until they are a nice brown hue. Drain and set aside.",Serve as a snack or breakfast with tea.,,
45,Sweet Sesame Balls,Simsim Balls,african,snack,Ugandan,"Sweet and nutty sesame seed balls bound with sugar syrup, rolled while warm into bite-sized treats.",200g simsim (sesame seeds)|5 tablespoons sugar|500ml water|1 pinch salt,simsim|sugar|salt|water,"Add 5 tablespoons of sugar to half a litre of water and bring to a boil until it forms a syrup. Add the simsim and bind well. Set aside. While still warm, grease the palms of your hands and roll the warm simsim into balls about an inch in diameter.",Serve as a snack or dessert.,,
46,Roasted Sesame Seeds,Roast Simsim,african,snack,Ugandan,"Nutty and aromatic roasted sesame seeds, gently toasted until golden brown and lightly salted.",200g simsim (sesame seeds)|1 teaspoon salt,simsim|salt,"Wash the simsim and drain well, then add salt. Heat a medium sized frying pan over low heat and add the simsim. Watch for any signs of burning and constantly stir until the simsim turns brown.","Serve as a snack, topping for bread, or mixed with honey.",,
47,Bean Dish with Skin Removed,Angira (Firinda),african,sauce,Banyoro,"Smooth and creamy skinned beans slow-cooked with garden eggs, onions, garlic, and aromatic curry powder.",300g fresh beans|5 garden eggs (entula)|1 onion|3 cloves garlic|1 teaspoon salt|1 teaspoon pepper|1 teaspoon curry powder|2 tablespoons cooking oil|1 tablespoon ghee,fresh beans|garden eggs|onions|garlic|salt|pepper|curry powder|cooking oil|ghee,"Soak the beans overnight and remove the skin. When ready, boil the beans until they are tender. When cooked, drain and set aside. Heat a little oil in a saucepan and fry the onions until they become translucent. Then add garlic, tomatoes, entula, and roasted curry powder. At this point, add the cooked beans and cook a while longer over low heat, stirring to avoid burning. If necessary, add some of the stock from the beans. Before serving, make sure that the garden eggs are cooked.","Serve with matooke, sweet potatoes, or cassava.",,
48,Boiled Groundnuts,Boiled Groundnuts,african,snack,Ugandan,Soft and savory groundnuts boiled in their pods with salt until tender and creamy inside.,500g groundnuts (in pods)|2 litres water|2 tablespoons salt,groundnuts|water|salt,Place the groundnuts in a pan. Add water and salt and bring to a boil. Cover and reduce heat. Cook for about 45 minutes or until cooked.,Serve in their pods as a snack.,,
49,Pan Fried Groundnuts,Pan Fried Groundnuts,african,snack,Ugandan,"Crunchy salt-fried groundnuts roasted in a pan until the skins peel easily, perfect for snacking.",500g groundnuts|2 tablespoons salt|100ml water,groundnuts|salt|water,"Mix water and salt to make a solution. Set aside. Add the solution to the groundnuts and mix well. Use a heavy saucepan. Fry them over low heat, constantly stirring, until they peel easily.",Serve as a snack.,,
50,Nakati,Nakati,african,side,Baganda,"Tender Nakati greens lightly boiled with vinegar, a simple and nutritious side dish.",300g Nakati leaves|500ml water|1 tablespoon vinegar|1 teaspoon salt,nakati|water|vinegar|salt,Wash the Nakati leaves thoroughly. Boil water in a saucepan. Add the Nakati leaves. Add vinegar and salt. Boil for 5-10 minutes until tender. Drain excess water and serve.,"Serve as a side dish with matooke, sweet potatoes, or cassava.",,
51,Peas Stew,Magira,african,sauce,Ugandan,Rich and creamy dried pea stew slow-cooked for hours with onions and ghee until velvety smooth.,500g dry crushed peas|2 litres water|1 onion|1 teaspoon salt|1 teaspoon rock salt|2 tablespoons ghee,dry peas|water|onions|salt|rock salt|ghee,"Soak the dry crushed peas overnight if possible. Place peas in a saucepan with water. Add onions, salt, and rock salt. Bring to a boil, then reduce heat and simmer for 2 to 3 hours until peas are soft and creamy. Stir occasionally and add more water if needed. Finish with ghee before serving.","Serve with matooke, posho, or bread.",,
52,Fried Grasshoppers,Nsenene,african,snack,Ugandan,"Crispy and golden fried grasshoppers seasoned with onions and curry powder, a popular Ugandan delicacy.",300g grasshoppers|1 onion|1 teaspoon curry powder|3 tablespoons cooking oil,grasshoppers|onions|curry powder|cooking oil,"Use a medium size saucepan. Add the grasshoppers with a little oil, sliced onion, and roasted curry powder. Cook over low heat, turning frequently to ensure they do not burn. When ready to serve, they should have a nice golden brown colour and be somewhat crispy.",Serve as a snack.,,
53,Dressed Chicken Luwombo,Dressed Chicken Luwombo,african,main,Baganda,"Whole chicken grilled over banana peels then steamed in banana leaves with tomatoes, shallots, and potatoes in the traditional Luwombo style.",1 whole chicken|3 tomatoes|2 tablespoons tomato paste|4 cloves garlic|5 shallots|1 teaspoon salt|1 teaspoon pepper|5 Luwombo leaves|3 Irish potatoes|Banana leaves|3 tablespoons cooking oil|2 tablespoons margarine|500ml chicken stock|1 onion,chicken|tomatoes|tomato paste|garlic|shallots|salt|pepper|luwombo leaves|irish potatoes|banana leaves|cooking oil|margarine|chicken stock|onions,"Have ready a charcoal stove that is alight and fiery hot. Spread banana peels over the embers. Grill the chicken whole until it becomes a nice golden brown, turning occasionally. When done, remove and set aside. Drop the tomatoes in boiling water for 1 minute, then peel and chop. In a bowl, combine chopped tomatoes, tomato paste, minced garlic, chopped shallots, salt, pepper, and margarine. Stuff the mixture inside the chicken and spread some on the outside. Place Luwombo leaves at the bottom of a banana leaf. Add the chicken, sliced Irish potatoes, and chicken stock. Wrap tightly with banana leaves and secure with banana fibers. Place the Luwombo package in a saucepan with water at the bottom. Cover and steam for 1.5 to 2 hours over low heat.","Serve with matooke, sweet potatoes, or rice.",,
54,Indian Chicken Curry,Murgh Kari,western,main,Indian,"Classic Indian chicken curry with tender browned chicken simmered in a rich, aromatic yogurt and tomato sauce.",800g chicken breast|2 teaspoons salt|3 tablespoons cooking oil|1 onion|4 cloves garlic|1 tablespoon ginger|2 tablespoons curry powder|1 teaspoon cumin|1 teaspoon turmeric|1 teaspoon coriander|1 teaspoon cayenne pepper|1 tablespoon water|400g crushed tomatoes|1/2 cup yogurt|2 tablespoons cilantro|1 teaspoon garam masala|1 tablespoon lemon juice,chicken breast|salt|cooking oil|onion|garlic|ginger|curry powder|cumin|turmeric|coriander|cayenne pepper|water|crushed tomatoes|yogurt|cilantro|garam masala|lemon juice,"Sprinkle the chicken breasts with 2 teaspoons salt. Heat oil in a large skillet over high heat. Partially cook the chicken in the hot oil in batches until completely browned on all sides. Transfer browned chicken breasts to a plate and set aside. Reduce the heat to medium and add onion, garlic, and ginger to the oil remaining in the skillet. Cook and stir until onion turns soft and translucent, about 5 to 8 minutes. Stir curry powder, cumin, turmeric, coriander, cayenne, and 1 tablespoon of water into the onion mixture. Allow to heat together for about 1 minute while stirring. Add crushed tomatoes, yogurt, 1 tablespoon chopped cilantro, and 1 teaspoon salt to the mixture. Stir to combine. Return chicken breasts to the skillet along with any juices on the plate. Pour in 1/2 cup water and bring to a boil, turning the chicken to coat with the sauce. Sprinkle garam masala and 1 tablespoon cilantro over the chicken. Cover the skillet and simmer until chicken breasts are no longer pink in the center and the juices run clear, about 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Drizzle with lemon juice to serve.","Serve with rice, naan, or chapati.",,
55,Chicken Stir-Fry,Chicken Stir-Fry,western,main,International,"Classic chicken stir-fry with crisp vegetables in a savory soy and brown sugar glaze, served over fluffy rice.",500ml water|250g white rice|100ml soy sauce|50g brown sugar|1 tablespoon cornstarch|1 tablespoon ginger|3 cloves garlic|1 teaspoon red pepper flakes|500g chicken breast|2 tablespoons sesame oil|200g broccoli|1 onion|2 carrots|150g water chestnuts|1 green bell pepper,water|rice|soy sauce|brown sugar|cornstarch|ginger|garlic|red pepper flakes|chicken breast|sesame oil|broccoli|onion|carrots|water chestnuts|green bell pepper,"Bring water and rice to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until rice is tender and liquid has been absorbed, about 20 to 25 minutes. Meanwhile, combine soy sauce, brown sugar, and cornstarch in a medium bowl. Stir until smooth. Stir in ginger, garlic, and red pepper flakes. Add chicken and stir to coat. Cover and marinate in the refrigerator for at least 15 minutes. Heat 1 tablespoon sesame oil in a wok or large skillet over medium-high heat. Add broccoli, onion, carrots, water chestnuts, and bell pepper. Cook and stir until just tender, about 5 minutes. Transfer vegetables to a dish and set aside. Heat remaining 1 tablespoon sesame oil in the same wok or skillet over medium-high heat. Add chicken (reserving marinade) and cook until just browned, about 2 minutes per side. Stir in vegetables and reserved marinade. Bring to a boil. Cook and stir until chicken is no longer pink in the center and vegetables are tender, about 5 to 7 minutes.",Serve over rice.,,
56,Chicken Marsala,Chicken Marsala,western,main,Italian,Classic Italian-American chicken Marsala with tender chicken breasts in a rich mushroom and Marsala wine sauce.,100g all-purpose flour|1 teaspoon salt|1 teaspoon black pepper|1 teaspoon dried oregano|500g chicken breast|50g butter|2 tablespoons olive oil|200g mushrooms|200ml Marsala wine|100ml cooking sherry,flour|salt|black pepper|oregano|chicken breast|butter|olive oil|mushrooms|marsala wine|cooking sherry,"In a shallow dish or bowl, mix together the flour, salt, pepper, and oregano. Coat chicken pieces in the flour mixture. In a large skillet, melt butter in oil over medium heat. Place chicken in the pan and lightly brown. Turn over chicken pieces and add mushrooms. Pour in wine and sherry. Cover the skillet and simmer chicken for 10 minutes, turning once, until no longer pink and juices run clear.","Serve with pasta, rice, or mashed potatoes.",,
57,Easy Italian Chicken,Easy Italian Chicken,western,main,Italian,"Simple marinated baked chicken breasts with zesty Italian dressing, baked until juicy and tender.",250ml Italian-style salad dressing|500g chicken breast,italian dressing|chicken breast,"Pour salad dressing into a large resealable plastic bag. Add chicken breasts, seal the bag, and shake to coat. Marinate in the refrigerator for at least 1 hour or overnight. Preheat the oven to 350 degrees F (175 degrees C). Remove chicken from marinade and place in a lightly greased 9x13-inch baking dish. Discard remaining marinade. Bake in the preheated oven, turning occasionally, until cooked through and juices run clear, about 1 hour. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).",Serve with roasted vegetables or a side salad.,,
58,Baked Chicken Nuggets,Baked Chicken Nuggets,western,main,American,"Homemade baked chicken nuggets with a crispy Parmesan and herb crust, healthier than fried.",500g chicken breast|150g Italian seasoned bread crumbs|50g grated Parmesan cheese|1 teaspoon dried basil|1 teaspoon dried thyme|1 teaspoon salt|100g butter,chicken breast|bread crumbs|parmesan cheese|basil|thyme|salt|butter,"Preheat the oven to 400 degrees F (200 degrees C). Cut chicken breasts into 1.5-inch pieces. Mix the bread crumbs, Parmesan cheese, basil, thyme, and salt together well in a medium bowl. Put melted butter in a bowl or dish for dipping. Dip chicken pieces into the melted butter first, then coat with the bread crumb mixture. Place the well-coated chicken nuggets on a lightly greased cookie sheet in a single layer. Bake nuggets in the preheated oven until browned and chicken is cooked through, about 20 minutes.","Serve with ketchup, honey mustard, or barbecue sauce.",,
59,Rolex,Rolex,african,main,Ugandan,"Chapati rolled with spiced scrambled eggs and fresh vegetables, a popular Ugandan street food.",2 chapatis|3 eggs|1 tomato|1 onion|1 teaspoon salt|1 teaspoon black pepper|2 tablespoons cooking oil,chapati|eggs|tomato|onion|salt|black pepper|cooking oil,"Heat a pan with cooking oil. Whisk eggs with chopped onions, tomatoes, salt, and pepper. Pour the egg mixture into the pan and cook like an omelette. Place a chapati on top of the cooking eggs. Flip and roll tightly. Serve hot.",Serve as breakfast or street snack.,"You can add shredded cabbage, carrots, or bell peppers for extra crunch.",
60,Chapati,Chapati,african,side,Ugandan,"Soft, layered flatbread made from wheat flour, perfect for scooping up stews and sauces.",500g all-purpose flour|1 teaspoon salt|2 tablespoons sugar|3 tablespoons oil|250ml warm water,flour|salt|sugar|oil|water,"Mix flour, salt, and sugar in a bowl. Add oil and warm water gradually. Knead into a soft dough for 10 minutes. Rest for 30 minutes. Divide into balls, roll thin, fold into layers, and roll again. Cook on a hot pan until golden brown on both sides, brushing with oil.","Serve with beans, meat stew, or tea.",You can add chopped herbs like coriander to the dough.,
61,Posho (Ugali),Posho,african,main,Ugandan,"Stiff maize flour porridge, a staple food across Uganda served with stews and sauces.",500g maize flour|1.5 litres water,maize flour|water,Bring water to a boil in a heavy saucepan. Gradually add maize flour while stirring continuously with a wooden spoon. Reduce heat and keep stirring until mixture thickens and pulls away from the sides of the pan. Add a little more flour if needed. Cover and cook for 5 minutes. Shape into a mound and serve.,"Serve with bean sauce, groundnut sauce, meat stew, or greens.",You can use cassava flour mixed with maize flour for variety.,
62,Kikomando,Kikomando,african,main,Ugandan,"Fried chapati pieces served with beans, a quick and filling Ugandan street food.",4 chapatis|500g cooked beans|1 onion|2 tomatoes|1 teaspoon salt|2 tablespoons cooking oil,chapati|cooked beans|onion|tomatoes|salt|cooking oil,"Cut chapatis into small cubes. In a pan, heat oil and fry onions until golden. Add tomatoes and cook until soft. Add cooked beans and salt. Simmer for 5 minutes. Serve the bean mixture over the chapati cubes.",Serve as a quick lunch or dinner.,You can add fried eggs or avocado on top.,
63,Muchomo,Muchomo,african,main,Ugandan,"Grilled meat (goat, beef, or chicken) marinated with salt and spices, served with fresh salad.",500g goat or beef meat|2 teaspoons salt|1 teaspoon black pepper|1 teaspoon curry powder|2 tablespoons cooking oil|1 onion|2 tomatoes,meat|salt|black pepper|curry powder|cooking oil|onion|tomatoes,"Cut meat into bite-sized pieces. Marinate with salt, pepper, curry powder, and oil for 2 hours. Thread onto skewers. Grill over hot charcoal or in an oven until browned and cooked through, turning occasionally. Serve with fresh onion and tomato slices.","Serve with fresh salad, chapati, or posho.",You can add barbecue sauce or chili sauce for extra flavor.,
64,Gonja,Gonja,african,snack,Ugandan,"Roasted or fried ripe plantains, a sweet and filling street snack enjoyed across Uganda.",4 ripe plantains (yellow with black spots)|500ml cooking oil (for frying)|1 teaspoon salt (optional),plantains|cooking oil|salt,Method 1 - Roasting: Do not peel the plantains. Place whole unpeeled ripe plantains directly on hot charcoal or over a gas flame. Turn frequently using tongs until the skin is charred and the inside is soft and caramelized (about 10-15 minutes). Peel and serve hot. Method 2 - Frying: Peel the ripe plantains. Slice into 1cm thick rounds or cut lengthwise into strips. Heat oil in a deep pan until hot. Fry plantain pieces until golden brown on both sides (about 3-4 minutes per side). Remove and drain on paper towel. Sprinkle with salt if desired. Serve hot.,Serve as a snack with roasted groundnuts or a cup of tea.,"You can also boil unpeeled plantains in water for 20-30 minutes for a softer, steamed version.",
65,Mandazi,Mandazi,african,snack,Ugandan,"East African fluffy fried doughnut, slightly sweet and spiced with coconut and cardamom, perfect with tea.",500g all-purpose flour|100g granulated sugar|1 teaspoon active dry yeast|1 teaspoon cardamom powder|100ml coconut milk|100ml warm water|1 large egg|Oil for deep frying (about 1 litre),flour|sugar|yeast|cardamom|coconut milk|water|egg|oil,"Step 1: In a small bowl, dissolve yeast in warm water with 1 teaspoon sugar. Let sit for 5-10 minutes until frothy. Step 2: In a large bowl, mix flour, remaining sugar, and cardamom powder. Step 3: Add coconut milk, beaten egg, and the activated yeast mixture. Knead into a soft, smooth dough for about 10 minutes. Step 4: Cover the dough with a damp cloth and let it rest in a warm place for 1 hour until doubled in size. Step 5: Punch down the dough and roll it out on a floured surface to about 1cm thickness. Step 6: Cut into triangles, squares, or circles using a knife or cookie cutter. Step 7: Heat oil in a deep pot to 180°C (350°F). Step 8: Fry mandazi in batches, turning once, until golden brown on both sides (about 2-3 minutes total). Step 9: Drain on paper towel. Serve warm or at room temperature.",Serve with chai tea or coffee for breakfast or an afternoon snack.,"You can add 1/2 cup grated fresh coconut to the dough for extra texture and flavor. For chocolate mandazi, add 2 tablespoons cocoa powder.",
66,Pilau Rice,Pilau,african,main,Ugandan,"Aromatic spiced rice dish cooked with meat or vegetables, popular for weddings, parties, and special occasions.","500g basmati or long grain rice|300g beef or chicken, cut into bite-sized pieces|2 large onions, thinly sliced|4 cloves garlic, minced|1 tablespoon fresh ginger, grated|2 ripe tomatoes, blended or finely chopped|3 tablespoons pilau masala spice mix|500ml beef or chicken broth|4 tablespoons vegetable oil|Salt to taste",rice|meat|onions|garlic|ginger|tomatoes|pilau masala|broth|oil|salt,"Step 1: Wash the rice thoroughly in cold water until water runs clear. Soak in water for 20 minutes, then drain. Step 2: Heat oil in a large heavy-bottomed pot (sufuria) over medium heat. Step 3: Add sliced onions and fry until golden brown and caramelized (about 8-10 minutes). Step 4: Add minced garlic and grated ginger. Fry for 1 minute until fragrant. Step 5: Add meat pieces and cook until browned on all sides (about 5-7 minutes). Step 6: Add blended tomatoes and pilau masala. Cook for 5 minutes until tomatoes reduce and oil separates. Step 7: Add the drained rice and stir gently to coat with the mixture for 2 minutes. Step 8: Pour in hot broth and add salt. Stir once, then bring to a boil. Step 9: Reduce heat to low, cover tightly with a lid, and simmer for 20 minutes without opening the lid. Step 10: Turn off the heat and let it rest covered for 5 minutes. Fluff with a fork before serving.","Serve hot with kachumbari (fresh tomato, onion, and coriander salad) or plain yogurt raita.","For a vegetarian version, omit meat and use vegetable broth. Add carrots, peas, and potatoes for extra vegetables.",
67,Eshabwe,Eshabwe,african,sauce,Ankole,"Traditional Ankole ghee sauce made from aged butter and rock salt, served with millet bread or roasted meat. Also known as ""the salt of Ankole.""","500g aged ghee (traditional eshabwe butter, or substitute with clarified butter)|2 tablespoons rock salt (omushereka), crushed|100ml warm water (approximately)",ghee|rock salt|water,"Step 1: If using regular ghee, age it at room temperature for 2-3 days to develop the traditional tangy flavor (optional but recommended). Step 2: Place the aged ghee in a large ceramic or wooden bowl. Step 3: Add the crushed rock salt to the ghee. Step 4: Gradually add warm water, one tablespoon at a time, while whisking continuously and vigorously using a wooden whisk or fork. Step 5: Continue whisking for 10-15 minutes until the mixture emulsifies and becomes creamy, light yellow, and frothy. The consistency should be like thick cream. Step 6: Taste and adjust salt if needed. Add more warm water if too thick. Step 7: Serve immediately at room temperature. Do not refrigerate before serving as it will harden.","Serve as a dipping sauce for millet bread (oburo), roasted goat meat, steamed sweet potatoes, or boiled Irish potatoes.",You can add a pinch of baking soda (1/8 teaspoon) to speed up the emulsification process. Some families add ground peanuts for extra richness.,
68,Beef Luwombo,Beef Luwombo,african,main,Baganda,"Traditional Baganda dish of beef slow-cooked in banana leaves with tomatoes, onions, and spices. The banana leaf steaming method infuses the meat with an earthy, aromatic flavor.","500g beef (chuck or stewing beef), cut into 3cm chunks|2 ripe tomatoes, chopped|1 large onion, finely chopped|3 cloves garlic, minced|1 teaspoon salt|1 teaspoon black pepper|2 tablespoons peanut butter (optional, for thickening)|4 large fresh banana leaves|Banana fibers (ebiyayi) or kitchen string for tying",ghee|rock salt|water,"Step 1: Prepare banana leaves by passing each leaf over an open flame or hot charcoal for a few seconds until they become shiny and pliable. This prevents tearing. Wipe clean with a damp cloth. Step 2: In a bowl, combine beef chunks, chopped tomatoes, chopped onion, minced garlic, salt, black pepper, and peanut butter (if using). Mix well with your hands. Step 3: Place a banana leaf on a flat surface. Place another leaf crosswise on top to form a double layer. Step 4: Spoon the beef mixture into the center of the leaves. Step 5: Fold the leaves over the meat to form a tight parcel. Start by folding the bottom edge up, then the sides, then the top edge down. Step 6: Secure the parcel with banana fibers or kitchen string, tying it like a gift package. Ensure no gaps for steam to escape. Step 7: Place the Luwombo parcels in a large saucepan. Add about 5cm of water to the bottom of the pan (do not submerge the parcels). Step 8: Cover the saucepan tightly with a lid. You can also place extra banana leaves over the parcels before covering. Step 9: Bring water to a boil, then reduce heat to low. Steam for 2.5 to 3 hours. Check occasionally and add more water if needed. Step 10: Remove from heat. Carefully open the banana leaves (hot steam will escape). The meat should be very tender. Serve directly from the banana leaf parcel.","Serve hot with steamed matooke (green bananas), white rice, or posho (ugali).","You can also cook chicken, goat meat, or even beans using the same Luwombo method. For chicken, reduce steaming time to 1.5 hours.",
69,Jollof Rice,Jollof Rice,african,main,West African,Iconic West African one-pot rice dish cooked in a flavorful tomato and pepper sauce with spices and chicken or beef.,500g long grain parboiled rice|400g chicken or beef (optional)|3 large ripe tomatoes (blended)|1 red bell pepper (blended)|1 onion (sliced)|2 scotch bonnet peppers (to taste)|4 cloves garlic (minced)|1 tablespoon ginger paste|3 tablespoons tomato paste|2 teaspoons thyme|2 teaspoons curry powder|2 bay leaves|3 tablespoons vegetable oil|500ml chicken stock or water|Salt to taste|1 onion for frying|3 Maggi cubes (optional),rice|meat|tomatoes|bell pepper|onion|scotch bonnet|garlic|ginger|tomato paste|thyme|curry powder|bay leaves|oil|stock|salt|Maggi cubes,"Step 1: Wash and parboil the rice for 10 minutes, then drain and rinse with cold water. Set aside. Step 2: Blend tomatoes, red bell pepper, and scotch bonnet peppers into a smooth puree. Step 3: Heat oil in a large heavy-bottomed pot over medium heat. Add sliced onions and fry until golden brown (about 5 minutes). Step 4: Add minced garlic and ginger paste. Fry for 1 minute until fragrant. Step 5: Add tomato paste and fry for 2 minutes until it darkens slightly. Step 6: Pour in the blended tomato-pepper mixture. Add thyme, curry powder, bay leaves, and Maggi cubes (if using). Cook for 15-20 minutes, stirring occasionally, until the sauce reduces and oil begins to separate from the tomato mixture. Step 7: If using meat, add it now and cook for 5 minutes to coat with the sauce. Step 8: Pour in the chicken stock or water. Bring to a boil. Step 9: Add salt to taste. The sauce should be slightly over-salted as the rice will absorb it. Step 10: Add the parboiled rice and stir gently to combine. Step 11: Reduce heat to low, cover tightly with a lid (seal with foil if lid doesn't fit tightly). Step 12: Cook for 25-30 minutes without opening the lid. Step 13: After 25 minutes, check the rice. If not fully cooked, add 2 tablespoons of water, cover, and cook for another 5-10 minutes. Step 14: Fluff the rice with a fork. Serve hot.","Serve with fried plantains (dodo), coleslaw, or a side of fresh tomato and onion salad.","For a vegetarian version, omit the meat and use vegetable stock. Add fried tofu or vegetables like carrots, peas, and green beans.",
70,Fufu,Fufu,african,main,West/Central African,"Starchy, doughy African staple made from cassava and plantains or yams, served as an accompaniment to soups and stews.",1kg cassava (or frozen cassava)|2 green plantains (or 500g yams)|Water for boiling,cassava|plantains|water,"Method 1 - Traditional (Cassava and Plantain): Step 1: Peel the cassava and remove the woody core. Cut into chunks. Step 2: Peel the green plantains and cut into chunks. Step 3: Boil cassava and plantain chunks together in salted water for 25-30 minutes until very soft and fork-tender. Step 4: Drain the water, reserving about 1 cup. Step 5: While still hot, transfer the cooked cassava and plantains to a large mortar (or heavy bowl). Step 6: Pound vigorously with a wooden pestle (or use a stand mixer with a dough hook) until smooth, elastic, and lump-free. Add reserved water a little at a time to achieve a soft, pliable dough. Step 7: Continue pounding for 10-15 minutes until the fufu is smooth and stretchy. Step 8: Shape into a ball or individual serving portions. Method 2 - Using Fufu Flour: Step 1: Bring 4 cups of water to a boil in a pot. Step 2: In a bowl, mix 2 cups of fufu flour with 1 cup of cold water to form a smooth paste. Step 3: Pour the paste into the boiling water while stirring continuously with a wooden spoon. Step 4: Reduce heat and keep stirring until the mixture thickens into a smooth, stretchy dough (about 5-8 minutes). Step 5: Add a little more hot water if too thick. Step 6: Cover and cook for 2 minutes, then stir again. Step 7: Shape into balls. To serve: Wet your hands with water to prevent sticking. Pinch off a small piece of fufu, roll into a ball, and make an indentation with your thumb. Use this to scoop up soup or stew.","Serve with egusi soup, groundnut soup, okra soup, or any African stew.","You can make fufu using only cassava (akpu), only plantains (plantain fufu), or yams (yam fufu). Store leftover fufu wrapped in plastic wrap in the refrigerator; reheat by steaming.",
71,Doro Wat,Doro Wat,african,main,Ethiopian,"Ethiopian national dish of chicken slow-cooked in a deeply spiced red onion and berbere sauce, served with hard-boiled eggs.",1 whole chicken (cut into 12 pieces)|4 large red onions (finely chopped)|6 cloves garlic (minced)|2 tablespoons ginger (grated)|4 tablespoons berbere spice mix|2 tablespoons paprika|1 tablespoon tomato paste|1 cup clarified butter (niter kibbeh) or regular butter|4 hard-boiled eggs|500ml water or chicken stock|Salt to taste|1 tablespoon lemon juice|2 teaspoons cardamom powder,chicken|onions|garlic|ginger|berbere|paprika|tomato paste|butter|eggs|water|salt|lemon juice|cardamom,"Step 1: Prepare niter kibbeh (Ethiopian spiced clarified butter): Heat butter with cardamom, cinnamon, and other spices for 15 minutes, then strain (optional but recommended). Step 2: In a large heavy-bottomed pot (clay pot is traditional), heat the niter kibbeh over medium-low heat. Step 3: Add chopped red onions and cook very slowly for 30-45 minutes, stirring frequently, until the onions are soft, dark brown, and caramelized. Do not rush this step. Step 4: Add minced garlic and grated ginger. Cook for 2 minutes until fragrant. Step 5: Add berbere spice mix and paprika. Stir and cook for 3-4 minutes until the spices are aromatic and darken slightly. Step 6: Add tomato paste and cook for 2 more minutes. Step 7: Add the chicken pieces and stir to coat with the onion-spice mixture. Step 8: Add water or chicken stock, salt, and lemon juice. Bring to a boil. Step 9: Reduce heat to low, cover, and simmer for 45 minutes, stirring occasionally. Step 10: Uncover and continue cooking for another 15-20 minutes until the sauce thickens and oil rises to the top. Step 11: Gently add the hard-boiled eggs (whole or halved) into the sauce. Step 12: Simmer for 5 more minutes to allow the eggs to absorb the flavors. Step 13: Taste and adjust salt and spice level. The sauce should be thick, dark red, and very flavorful. Serve hot.","Serve with injera (Ethiopian sourdough flatbread) or rice. Traditionally eaten with hands, using injera to scoop up the chicken, egg, and sauce.","For a vegetarian version, substitute chicken with 500g of mushrooms or chickpeas. Reduce cooking time to 30 minutes.",
72,Suya,Suya,african,snack,Nigerian,"Nigerian spicy grilled meat skewers coated in ground peanut and chili spice blend (yaji), served with fresh onions and tomatoes.",500g beef (sirloin or flank steak) cut into thin strips|100g ground roasted peanuts (peanut powder)|2 tablespoons ground cayenne pepper|1 tablespoon ground ginger|1 tablespoon garlic powder|1 teaspoon smoked paprika|1 teaspoon salt|1 Maggi cube (crushed)|2 tablespoons vegetable oil|1 large onion (sliced)|2 tomatoes (sliced),beef|peanuts|cayenne|ginger|garlic powder|paprika|salt|Maggi cube|oil|onion|tomatoes,"Step 1 - Make the Yaji spice mix: In a dry bowl, combine ground peanuts, cayenne pepper, ground ginger, garlic powder, smoked paprika, salt, and crushed Maggi cube. Mix well. Set aside 1/4 cup for serving. Step 2 - Marinate the meat: Place beef strips in a large bowl. Add the remaining yaji spice mix and vegetable oil. Massage the spices into the meat until fully coated. Step 3 - Cover and refrigerate for at least 2 hours, preferably overnight for deeper flavor. Step 4 - Soak wooden skewers in water for 30 minutes (to prevent burning). Step 5 - Thread the marinated beef strips onto the skewers, weaving them back and forth. Do not overcrowd; leave some space for even cooking. Step 6 - Preheat a grill (charcoal is traditional) or a grill pan over medium-high heat. Step 7 - Grill the suya skewers for 3-4 minutes per side until charred on the edges and cooked through. Step 8 - Remove from grill and immediately roll the hot skewers in the reserved yaji spice mix. Step 9 - Serve hot, topped with sliced onions and tomatoes. Squeeze fresh lemon juice over if desired.","Serve as a street snack or appetizer with extra sliced onions, tomatoes, cucumber, and fresh lemon wedges.","You can also make suya with chicken, goat meat, or even tofu. For chicken suya, reduce grilling time to 2-3 minutes per side.",
